"Abraham Bradley, Jr.",Hannah Smith
Michael Ross (Home and Away),Pippa Ross
Michael Rowse,Fanny Wong
Michael Rupert,Will Chafin
Michael S. Bennett,Diane
Michael S. Engel,Kellie Kristen Magill (1970- )
Michael S. Lee,Sharon
Michael S. Roth,Kari Weil
Michael Sabatino,(January 6 1997 - present) 2 children
Michael Sabatino,Crystal Chappell
Michael Sabia,Hilary Pearson
Michael Sacco,Sophie Sacco
Michael Salla,Angelika Whitecliff
Michael Sanchez,Lynn
Michael Saucedo,(June 2001-present; 2 children)
Michael Saucedo,Rebecca Herbst
Michael Savage (commentator),Janet Weiner
Michael Savage (politician),Darlene Savage
Michael Schildberger,Julia (deceased)
Michael Schur,J. J. Philbin
Michael Schur,Jennifer Philbin
Michael Shanks,Lexa Doig
Michael Shepherd (psychiatrist),Margaret Rock
Michael Shersby,Barbara Barrow
Michael Simmons,Elizabeth Kindred
Michael Small,Lynn Goldberg
Michael Smuin,Paula Tracy (1961-2000)
Michael Somare,Veronica Somare
Michael Spence (Holby City),Annalese Carson
Michael Spicer,Patricia Ann Hunter
Michael Steele,(m. 1985)
Michael Steele,Andrea Derritt Steele
Michael Steger,Brandee Tucker (15 Nov 2008-)
Michael Stern (educator),1986
Michael Stern (educator),1987
Michael Stern (educator),Sarah Roberts
Michael Stevenson,Jan Whitford
Michael Stroka,Karen Jensen
Michael Switalski,Roma Heaney
Michael T. Benson,Debi (Woods) Benson
Michael Taliferro,Cathey L. Tyree
Michael Tao,Wong Wai Po (2000-2007)
Michael Thomas (author),Yes
Michael Trend,Jill Kershaw
Michael Trucco,(July 2009-present)
Michael Trucco,Sandra Hess
Michael Tse,Tina Lee Tin Yan (2005-present)
Michael Tucker (actor),Jill Eikenberry
Michael V. Drake,Brenda Drake
Michael VII Doukas,Maria Bagrationi
Michael VII Doukas,Maria of Alania
Michael Vitez,Maureen Fitzgerald
Michael W. Mosman,Suzanne Cannon Hogan
Michael W. Tryon,Cathy
Michael Wallis,Suzanne Fitzgerald Wallis
Michael Warren (actor),Jenny A. Warren-(divorced)
Michael Wayne,"Gretchen Wayne (1958 - April 2, 2003) (his death)"
Michael Weatherly,1 child: August Manning Weatherly
Michael Weatherly,Amelia Heinle
Michael Weatherly,Bojana Jankovic (2009-present)
Michael Whalley,Purr
Michael Wilding (actor),(1952-1957)
Michael Wilding (actor),(1964-1976)
Michael Wilding (actor),Elizabeth Taylor
Michael Wilding (actor),Kay Young (1937-1951)
Michael Wilding (actor),Margaret Leighton
Michael Wilding (actor),Susan Nell (1958-1962)
Michael Williams (actor),(1971-2001)
Michael Williams (actor),Judi Dench
Michael Wills,Jill Freeman
Michael Wines,Sharon LaFraniere
Michael Winter (professor),Hilary
Michael Wong (actor),Janet Ma
Michael Woods (politician),Margot Maher
Michael York (actor),Patricia McCallum
Michael Zimmerman (sensei),Diane Musho Hamilton
Michael Zucchet,Teresa (?-?)
Michael of Romania,Anne of Bourbon-Parma
Michael of Romania,Queen Anne of Romania
Michael of Russia,Eudoxia Lukyanovna Streshneva
Michael of Russia,Maria Vladimirovna Dolgorukova
Michael-Ryan Fletchall,(m. 2000-present)
Michael-Ryan Fletchall,Catherine Gayle Fletchall
Michaela Bercu,Ron Zukerman
Michaelia Cash,Richard Price
Michal Yannai,Ofer Resles (2003-2005) (divorced)
Michaëlle Jean,Jean-Daniel Lafond
Michał Kazimierz Radziwiłł,Katarzyna Sobieska
Michał Wołodyjowski,Barbara Jeziorkowska
Michel Ancel,"http://www.ecrans.fr/Michel-Ancel-pique-au-jeu,4213.html"
Michel Ancel,2008-05-30
Michel Ancel,2009-03-07
Michel Ancel,Alexandra Ancel
Michel Ancel,Cario
Michel Ancel,Erwan
Michel Ancel,French
Michel Auger (politician),Priscilla Nicol
Michel Chiha,Marguerite Philippe Pharaon
Michel Ephrussi,Beer (Baer) (1850-1914)
Michel Ephrussi,Liliane
Michel Guimond,Mariette Langlois
Michel Jureidini,Jumana Antoun (married 2007).
Michel Laframboise,Emile Picard
Michel Piccoli,(1966-1977)
Michel Piccoli,Ludivine Clerc (1980-present)
Michel Suleiman,Wafaa Suleiman
Michela Alioto-Pier,Tom Pier
Michele Bachmann,Marcus Bachmann
Michele Brooks,Guy Brooks
Michele Dotrice,Edward Woodward
Michele Hicks,2008&ndash;present
Michele Hicks,Jonny Lee Miller
Michele Lee,(1966&ndash;1983)
Michele Lee,Fred A. Rappoport (1987&ndash;present)
Michele Lee,James Farentino
Michele Norris,Broderick Johnson
Michele Pawk,John Dossett
Micheline Presle,(1950 - 1954)
Micheline Presle,William Marshall
Micheline Presle,William Marshall (actor)
Michelle Alves,Guy Oseary
Michelle Bauer Santos,"Daniel ""Danny"" Santos"
Michelle Bauer Santos,(divorced; first time) [1999-2000]
Michelle Bauer Santos,(divorced; second time) [2003-2005]
Michelle Bauer Santos,(married; third time) [2005+]
Michelle Bauer Santos,Danny Santos
Michelle Burke,Scott Thomas
Michelle Courchesne,Normand Filiatreault
Michelle Doherty,Single
Michelle Federer,(2007-Present)
Michelle Federer,Norbert Leo Butz
Michelle Fischbach,Scott
Michelle Forbes,(1990-?)
Michelle Forbes,(divorced)
Michelle Forbes,Ross Kettle
Michelle Gildernew,Jimmy Taggart
Michelle Gomez,Jack Davenport
Michelle Heaton,2006
Michelle Heaton,2008
Michelle Heaton,Andy Scott-Lee
Michelle Hurd,Garret Dillahunt
Michelle Johnson (actress),Matt Williams
Michelle Johnson (actress),Matt Williams (third baseman)
Michelle Lemmons-Poscente,Vince Poscente
Michelle Madhok,Michael Palka
Michelle Malkin,Jesse D. Malkin
Michelle McGann,Jonathan Satter
Michelle McManus (Michigan politician),Keith Nelson
Michelle Meyrink,John
Michelle Monaghan,Peter White (2005&ndash;present)
Michelle Obama,(m. 1992)
Michelle Obama,Barack Obama
Michelle Paige Paterson,David Paterson
Michelle Park Steel,Shawn Steel
Michelle Pfeiffer,(1981&ndash;1988)
Michelle Pfeiffer,(1993&ndash;present)
Michelle Pfeiffer,David E. Kelley
Michelle Pfeiffer,Peter Horton
Michelle Rehwinkel Vasilinda,Michael D. Vasilinda
Michelle Rhee,(engaged)
Michelle Rhee,Kevin Huffman (divorced 2007)
Michelle Rhee,Kevin Johnson
Michelle Rhee,http://www.nbcwashington.com/around-town/events/Lessons-in-Engagement-69336137.html
Michelle Simson,George Simson
Michelle Vieth,(2002-2003)
Michelle Yeoh,Dickson Poon
Michelle of Valois,"Philip III, Duke of Burgundy"
Micheál Martin,Mary O'Shea
Michie Tomizawa,Unknown
Michèle Bennett,(1) Alix Pasquet (1973-1978)
Michèle Bennett,(1980-1990)
Michèle Bennett,(2)
Michèle Bennett,Jean-Claude Duvalier
Michèle Flournoy,W. Scott Gould
Michèle McQuigg,F. Clancy McQuigg
Michèle Mercier,(1961&ndash;1967)
Michèle Mercier,(1968&ndash;1982)
Michèle Mercier,Claude Bourillot
Michèle Morgan,(1942&ndash;1948)
Michèle Morgan,(1950&ndash;1959)
Michèle Morgan,(1960&ndash;2006)
Michèle Morgan,Henri Vidal
Michèle Morgan,William Marshall
Michèle Morgan,William Marshall (bandleader)
Mick Brown (angler),Jan Brown
Mick Miller (Aboriginal statesman),", Barbara Russell"
Mick Miller (Aboriginal statesman),Pat O'Shane
Mick Ukleja,Louise Ukleja
Mickey Cafagna,Sharon Green Cafagna (m. 1965)
Mickey DeLorenzo,Diana Neary
Mickey Edwards,Elizabeth A. Sherman
Mickey Gilley,Vivian Gilley
Mickey Hargitay,(1958-1964)
Mickey Hargitay,Ellen Siano (1967-2006)
Mickey Hargitay,Jayne Mansfield
Mickey Hargitay,Mary Birge (1948-1956)
Mickey Horton,"(divorced, second time)"
Mickey Horton,"(invalid, first time)"
Mickey Horton,"(invalid, third time)"
Mickey Horton,"(married, fourth time)"
Mickey Horton,(annulled)
Mickey Horton,(divorced)
Mickey Horton,Bonnie Lockhart
Mickey Horton,Laura Spencer
Mickey Horton,Laura Spencer Horton
Mickey Horton,Maggie Simmons
Mickey Kantor,1978
Mickey Kantor,Heidi Schulman (since 1982)
Mickey Kantor,Valerie Woods Kantor (died
Mickey Michaux,June
Mickey Rooney,Ava Gardner
Mickey Rooney,Elaine Devry
Mickey Rooney,Jan Chamberlin
Mickey Rooney,Jan Rooney
Mickey Rooney,Martha Vickers
Mickey Rourke,(1981&ndash;1989)
Mickey Rourke,(1992&ndash;1998)
Mickey Rourke,Debra Feuer
Micky Dolenz,Samantha Juste
Micky Dolenz,Trina Dolenz
Micky Jagtiani,Renuka Jagtiani
Micky McAvoy,Kathleen
Midge (Barbie),Allan Sherwood
Midge and Bob Pinciotti,Bob Pinciotti
Midge and Bob Pinciotti,Midge Pinciotti
Mieko Harada,(1987 - present)
Mieko Harada,Ryo Ishibashi
Miep Gies,Jan Gies
Miet Smet,Wilfried Martens
Mignon Anderson,(1915&ndash;1966)
Mignon Anderson,J. Morris Foster
Miguel Alemán Valdés,Beatriz Velasco
Miguel Alemán Velasco,Christiane Magnani
Miguel Barragán,Manuela Trebesto y Casasola
Miguel Ferrer,(1991-2003)
Miguel Ferrer,Leilani Sarelle
Miguel Ferrer,Lori Weintraub (2005-present)
Miguel Littín,Elizabeth Menz
Miguel Lopez-Fitzgerald,(married 2008)
Miguel Lopez-Fitzgerald,Kay Bennett
Miguel Mariano Gómez,Serafina Diago
Miguel Piñero,Juanita Lovette Ramirez (1977-1979)
Miguel de Icaza,Maria Laura
Miguel de la Madrid,1 July 2008
Miguel de la Madrid,10 May 2007
Miguel de la Madrid,Miguel de la Madrid Hurtado
Miguel de la Madrid,Paloma Cordero Tapia
Miguel de la Madrid,Roberto
Miguel de la Madrid,Spanish
Miguel de la Madrid,http://www.cidob.org/es/documentacion/biografias_lideres_politicos/america_del_norte/mexico/miguel_de_la_madrid_hurtado
Miguel del Valle,Lupe
Miguel Ángel Barberena Vega,Miriam Cruz Valdes
Miguel Ángel Jiménez,Montserrat (m.1991)
Miguel Ángel Juárez Celman,Elisa Funes
Miguel Ángel Suárez,Amneris Morales
Mihai Ghimpu,Dina Ghimpu
Mihail Kogălniceanu,Ecaterina Jora
Mihkel Mathiesen,Maia Sinberg
Mihrişah Sultan,Mustafa IV
Mihály Babits,Ilona Tanner
Mihály Babits,pen name
Miiko Taka,"(1944-1958), Lennie Blondheim (1963 - Present)"
Miiko Taka,Dale Ishimoto
Miina Tominaga,(1990-????)
Miina Tominaga,(2001-present)
Miina Tominaga,Kazuki Yao
Mika Brzezinski,"James Patrick Hoffer (October 23, 1993)"
Mika Johnson,Kaori Mitsushima
Mika Kanai,(1994-2006)
Mika Seeger,Joe Bossom
Mike A. Horton,Melissa L. Nguyen
Mike Allen (Canadian politician),Jennifer Allen
Mike Altieri,Shauna Marie McClure (1996-present)
Mike Arcuri,Sabrina Deon-Arcuri
Mike Argento,Cine Martinez-Argento
Mike Ashley (businessman),Linda Ashley (divorced)
Mike Baird (Australian politician),Kerryn
Mike Bannister,Chris (wife)
Mike Beebe,Ginger Beebe
Mike Boland (politician),Mary
Mike Bongiorno,Annarita Torsello (1968 - 1970)
Mike Bongiorno,Daniela Zuccoli (1972 - 2009)
Mike Bongiorno,Rosalia Maresca (1948 - 1952)
Mike Bost,Tracy
Mike Bouchard,Wife: Pamela
Mike Boyd,Margo Boyd
Mike Bradley (politician),none
Mike Brubaker,Cindy
Mike Callihan,Debra McDonald Callihan
Mike Capuano,Barbara Capuano
Mike Caputo,Tina Thorne
Mike Carey (American football),Wendy
Mike Coffman,Cynthia Coffman
Mike Conaway,Suzanne Conaway
Mike Connolly (Iowa politician),Martha
Mike Connors,Mary Lou Willey (1949&ndash;present)
Mike Cooney,Dee Ann
Mike Cox,Laura Cox
Mike Crapo,Susan Crapo
Mike Crites,Maureen Crites
Mike Cross (Louisiana politician),Kristie Cross
Mike Curtis (Alabama politician),Janice
Mike D. Rogers,Beth Rogers
Mike DeWine,Frances Struewing
Mike Defensor,Rose Tactacan-Defensor
Mike Delfino,(wife)
Mike Delfino,(wife; deceased)
Mike Delfino,Mrs. Delfino
Mike Delfino,Susan Delfino
Mike Doogan,Kathleen
Mike Dopud,(actress)
Mike Dopud,Angela Schneider
Mike Dow,Patsy Busby Dow
Mike Duffy,Heather
Mike Duffy,Prime Minister Stephen Harper appoints Mike Duffy to the Senate of Canada
Mike Duffy,zvJB8KeUFbA
Mike Dugas,Nikki
Mike Duncan,Joanne Duncan
Mike Easley,Mary Easley
Mike Eman,Doina Neagoy
Mike Enzi,Diana Enzi
Mike Epps,(2006-present)
Mike Epps,Michelle McCain
Mike Farrell,(1963&ndash;1983)
Mike Farrell,(1984&ndash;present)
Mike Farrell,Judy Farrell
Mike Farrell,Shelley Fabares
Mike Ferguson (New Jersey politician),Maureen Ferguson
Mike Feuer,"Accessed on August 17, 2007."
Mike Feuer,"California Manufacturers &amp; Technology Association. ""CMTA legislative database: Mike Feuer Assembly District 42, Democrat."""
Mike Feuer,Gail Ruderman Feuer
Mike Fitzpatrick (broadcaster),Laura Brennan
Mike Fitzpatrick,Kathleen Fitzpatrick
Mike Fleck,Dorea Cunningham
Mike Foley (auditor),Susan Foley
Mike Folmer,Sheila Folmer
Mike Fortner,Rebecca
Mike Francis,Divorce
Mike Francis,from Diana Istre Francis
Mike Frerichs,Laura Frerichs
Mike Gabbard,Carol
Mike Gallacher,Judy Gallacher
Mike Gallagher,"Denise Newlen-Gallagher (deceased June 29th, 2008)"
Mike Gatto,Danielle Gatto
Mike Gibbon,July 1976
Mike Gibbon,Moya McCarthy
Mike Gleeson,Yvonne Doyle
Mike Gravel,Rita Martin (divorced)
Mike Gravel,Whitney Stewart Gravel
Mike Hall (politician),Lesley Evelyn Gosling
Mike Hancock (UK politician),Jacqueline Elliott
Mike Haridopolos,Stephanie Bressan
Mike Harris,Janet Harrison
Mike Harris,Laura Maguire
Mike Harris,Mary Alyce Coward
Mike Hatch,Patti Hatch
Mike Hayden,Patti Ann Rooney
Mike Hayes,Michelle Hayes
Mike Haynes (ice hockey),Victoria Haynes
Mike Healey,Victoria Healey (divorced)
Mike Henry (voice actor),Sara Henry
Mike Hentley,Janis Hentley
Mike Hill (sportscaster),Camille Hill
Mike Ho,none!
Mike Holm,Virginia Paul Holm
Mike Honda,Deceased
Mike Horn,Cathy Horn
Mike Horner (politician),Abby Horner
Mike Horton,Margo Anderman (widowed)
Mike Huckabee,2007-12-17
Mike Huckabee,Biography
Mike Huckabee,Huckabee For President Inc.
Mike Huckabee,Janet Huckabee
Mike Huckabee,Team Huckabee
Mike Huckabee,http://www.teamhuckabee.com/aboutmike.php
Mike Huckleberry,Linda Huckleberry
Mike Hudak,"N/A - single, never married"
Mike Jackson (Texas politician),Vickie
Mike Jacobs (Illinois politician),Beth Wendt
Mike Jaros,Annette
Mike Johanns,Stephanie Johanns
Mike Johnson (Oklahoma politician),Judy
Mike Jopek,Char
Mike Kaplowitz,Jayne Kaplowitz
Mike Karr,"(dissolved; February 26, 1957 to February 22, 1961)"
Mike Karr,"(married: April 22, 1963)"
Mike Karr,Nancy Pollock
Mike Karr,Sara Lane Karr
Mike Kasnoff,"(divorced, deceased)"
Mike Kasnoff,"Kathryn ""Katie"" Peretti"
Mike Kasnoff,(divorced)
Mike Kasnoff,(married)
Mike Kasnoff,Anna Kasnoff
Mike Kasnoff,Jennifer Munson
Mike Kasnoff,Katie Peretti
Mike Kellin,Nina Kellin (1951-1963) (her death) 1 adopted daughter
Mike Kellin,Sally Moffet (?-1983) (his death)
Mike Kelly (Alaska politician),Cherie
Mike Kelly (politician),Shelley
Mike Kleinhenz,Sydnie Meltzer Kleinhenz (divorced)
Mike Kopp,Kimberly
Mike Krusee,Leigh A. Krusee
Mike Krüger,Birgit
Mike Laird,Lisa Schaefer (1999-)
Mike Lake (politician),Debi Lake
Mike Leavitt,Jacalyn Smith
Mike Leigh,(1973-2001)
Mike Leigh,Alison Steadman
Mike Lookinland,Kelly Wermuth (1987 - present)
Mike Manning,Relly Manning
Mike Mansfield,Maureen Mansfield
Mike Massie,Ruth
Mike May (Iowa politician),Marge
Mike Mazurki,Jeanette Briggs (1943-1950) (divorced) 2 children
Mike Mazurki,Sylvia Weinblatt (1968-1990) (his death)
Mike Mazzei,Noel
Mike McGinness,Dee
Mike McIntyre,Dee Strickland
Mike McWherter,Mary Jane McWherter
Mike Menning,Dawn
Mike Michaud,Single
Mike Minor (actor),(1968-1973)
Mike Minor (actor),Linda Kaye Henning
Mike Minor (actor),Marilyn Minor (1981-?)
Mike Moncrief,Rosie
Mike Montagano,Bethany
Mike Moore,Yvonne Dereany
Mike Myers (actor),(1993&ndash;2005) (divorced)
Mike Myers (actor),Robin Ruzan
Mike Nawrocki,Lisa Nawrocki
Mike Nesbitt,1992
Mike Nesbitt,Lynda Bryans
Mike Newell (director),Bernice Stegers
Mike Norris (actor),Valerie Norris (1992-present) 3 children
Mike O'Brien (UK politician),Alison Joy Munro
Mike O'Malley,Lisa O'Malley (2000-present)
Mike Obermueller,Sara
Mike Oliverio,Melissa Kirk
Mike Olscamp,Karen
Mike Opat,Kim Opat
Mike Oxley,Patricia Oxley
Mike Parry (politician),Kathy Carlsen Parry
Mike Pence,Karen Pence
Mike Penning,Angela
Mike Phillips (Montana politician),Linda
Mike Pilot,Ariana (Arndt) Pilat
Mike Prusi,Sandi
Mike Quill,"1) Maria Theresa O'Neill, 2) Shirley Quill"
Mike Rann,Jenny Russell
Mike Rann,Sasha Carruozzo
Mike Reasoner,Margaret
Mike Reid (entertainer),(divorced)
Mike Reid (entertainer),(his death)
Mike Reid (entertainer),1958
Mike Reid (entertainer),1967
Mike Reid (entertainer),1971
Mike Reid (entertainer),29 July 2007
Mike Reid (entertainer),Sheila Reid
Mike Reid (entertainer),Shirley Collins
Mike Reynolds (politician),Janice Mayes
Mike Rinder,Divorced from Cathy
Mike Rinder,Neal.
Mike Rogers (Michigan politician),Married
Mike Ross,Holly Ross
Mike Rounds,Jean Rounds
Mike Schaufler,Frances
Mike Scroggins,Melanie
Mike Scully,Julie Thacker
Mike Seidel,Christine Schroder
Mike Simpson,Kathy Simpson
Mike Slattery (Kansas politician),Jenny Slattery
Mike Smith (Louisiana politician),Linda Ann Clardy Smith
Mike Sodrel,Marquita Dean Sodrel
Mike Sullivan (governor),Jane Metzler Sullivan
Mike Tate,Amy Lensing (2007-Present)
Mike Thompson,Janet Thompson
Mike Todd,(1927-1946)
Mike Todd,(1947-1950)
Mike Todd,(1957-1958)
Mike Todd,Bertha Freeman
Mike Todd,Elizabeth Taylor
Mike Todd,Joan Blondell
Mike Turner,Lori Turner
Mike Turzai,Lidia Turzai
Mike Vallely,1992
Mike Vallely,Ann
Mike Vasilinda,Michelle Rehwinkel Vasilinda
Mike Velarde,Belen Velarde
Mike Veon,Stephanie
Mike Vogel,(2 children)
Mike Vogel,Courtney Vogel (2003-present)
Mike Wallace (journalist),1940
Mike Wallace (journalist),1948
Mike Wallace (journalist),1949
Mike Wallace (journalist),1954
Mike Wallace (journalist),1955
Mike Wallace (journalist),1983
Mike Wallace (journalist),1986
Mike Wallace (journalist),Buff Cobb
Mike Wallace (journalist),Lorraine Perigord
Mike Wallace (journalist),Mary Yates
Mike Wallace (journalist),Norma Kaphan
Mike Wallace (politician),Caroline Wallace
Mike Walsworth,Divorce
Mike Waters (politician),Kobus Rossouw
Mike Waugh,Wanda C. Waugh
Mike Webb (pastor),Chrys Webb
Mike Weir,Bricia
Mike Wood (politician),Christine O'Leary
Mikey Arroyo,Ma. Angela Montenegro
Mikey Coppola,Linda
Mikey L. Hoeven,John Hoeven
Mikey Palmice,(wife)
Mikey Palmice,JoJo Palmice
Mikey Palmice,List of characters from The Sopranos - friends and family#JoJo Palmice
Mikhail Fradkov,Elena Ludenko-Fradkova
Mikhail Gorbachev,(d. 1999)
Mikhail Gorbachev,Raisa Gorbachyova
Mikhail Horowitz,Carol Zaloom
Mikhail Kalashnikov,Ekaterina Kalashnikova
Mikhail Kalashnikov,http://www.weaponplace.ru/kalashnikov.php
Mikhail Kalashnikov,weaponplace.ru
Mikhail Lomonosov,Elisabeth Zilch
Mikhail Suslov,Yelizaveta Alexandrovna Suslova
Mikhail Tereshchenko,(?-1923)
Mikhail Tereshchenko,Horst (1926-?)
Mikhail Tereshchenko,Margaret Noe
Mikheil Chiaureli,Veriko Anjaparidze
Mikheil Saakashvili,Sandra Roelofs
Mikko Leppilampi,Emilia Leppilampi
Miklós Horthy,Magdolna Purgly
Miklós Jancsó,(1958-?)
Miklós Jancsó,(1981-present)
Miklós Radnóti,Fanni Gyarmati
Miklós Rózsa,Margaret Finlason (1943-1995) (his death)
Mila Beck,1990
Mila Beck,2000
Mila Beck,[Axel Barth]
Mila Parély,Thomas Mathieson (1947- 1991) (
Mila Parély,his death
Mila Rechcigl,Eva Rechcigl
Milagros,Von Serna
Milan Jovanović (Powerlifting),"Jovana, model"
Milan Murray (actress),Schalk van der Merwe
Milburn Stone,Ellen Morrison (1925-1937)
Milburn Stone,Jane Garrison (1939-1940) (1941-1980)
Mildred Barry Hughes,1902
Mildred Barry Hughes,1971
Mildred Barry Hughes,Peter L. Hughes II
Mildred Brown,S. Edward Gilbert (ex)
Mildred Davis,(1923-1969)
Mildred Davis,Harold Lloyd
Mildred Dunnock,1933
Mildred Dunnock,1991
Mildred Dunnock,Keith Urmy
Mildred Gillars,Max Otto Koischwitz
Mildred Grosberg Bellin,Dr. Harold Bellin
Mildred Harris,(1918&ndash;1920)
Mildred Harris,(1924&ndash;1929)
Mildred Harris,(1934&ndash;1944)
Mildred Harris,Charlie Chaplin
Mildred Harris,Everett Terrence McGovern
Mildred Harris,William P. Fleckenstein
Mildred Natwick,none
Milena Canonero,Marshall Bell
Milena Dravić,(?-1969)
Milena Dravić,(?-?)
Milena Dravić,(?-present)
Milena Dravić,Kokan Rakonjac
Milena Govich,David Cornue (2003-present)
Miles Dyson,Tarissa Dyson
Miles Laurence,(June-Sept. 2007; annulled)
Miles Laurence,Marty Saybrooke
Miles Malleson,Constance Malleson
Miles Malleson,Joan G. Billson
Miles Malleson,Joan Malleson
Miles Malleson,Lady Constance Annesley
Miles Mander,"Princess Prativa Devi, dau. of"
Miles Mander,Cooch Behar
Miles Mander,Kathren ('Bunty') French
Miles Mander,Maharajah
Miles Mander,Nripendra Narayan of
Miles Richardson,Beverley Cressman (1994-2009; divorced)
Miles Taylor,Eliza Ann Bruden
Miles Teg,Unnamed wife (deceased)
Mileva Marić,Albert Einstein
Mili Avital,(2004-Present)
Mili Avital,Charles Randolph
Milind Soman,(2006-2009)
Milind Soman,Mylene Jampanoi
Milinda Moragoda,Jennifer Moragoda
Milla Jovovich,(1992&ndash;1993)
Milla Jovovich,(1997&ndash;1999)
Milla Jovovich,(2009&ndash;present)
Milla Jovovich,Luc Besson
Milla Jovovich,Paul W. S. Anderson
Milla Jovovich,Shawn Andrews
Milla Jovovich,Shawn Andrews (actor)
Millane Kang,unknown
Millard F. Caldwell,Mary Harwood Caldwell
Millard Fillmore,(dissolved by her death; 1826-1853)
Millard Fillmore,(married at death; 1858- his death;1874)
Millard Fillmore,Abigail Fillmore
Millard Fillmore,Abigail Powers
Millard Fillmore,Caroline Carmichael McIntosh
Millard Fillmore,Caroline Fillmore
Millard Fuller,Linda Fuller
Millard Mitchell,Peggy Gould (? - 1953; his death)
Millicent Collins-Forbes,"(March 1796, marriage annulled)"
Millicent Collins-Forbes,Nathan Forbes
Millicent Martin,Marc Alexander (1978&ndash;present)
Millicent Martin,Norman Eshley
Millicent Martin,Ronnie Carroll (1959&ndash;1965)
Millie Corretjer,Oscar de la Hoya
Millie DeLeon,Lew Rose
Millie Perkins,Dean Stockwell
Millie Perkins,Robert Thom
Milly Bernard,Lynn (Bud) Bernard
Milos Milos,Cynthia Bouron (1964 - ?)
Milton A. Romjue,Maude (Nickell) Romjue
Milton Berle,Joyce Mathews (1941&ndash;1947)
Milton Berle,Joyce Mathews (1949&ndash;1950)
Milton Berle,Lorna Adams (1991&ndash;2002)
Milton Berle,Ruth Cosgrove (1953&ndash;1989)
Milton C. Pettibone,Elsie C. Rider
Milton E. Harris,Ethel
Milton Edgar Maybee,1929
Milton Edgar Maybee,A.L.
Milton Edgar Maybee,Canadian Parliamentary Guide
Milton Edgar Maybee,Gertrude Pake
Milton Edgar Maybee,Mortimer Company
Milton Edgar Maybee,Normandin
Milton Edgar Maybee,Ottawa
Milton Edgar Maybee,m.&nbsp;27&nbsp;November&nbsp;1895
Milton H. Erickson,"Helen, Elizabeth"
Milton H. Sanford,Cordelia
Milton Latham,Sophie Birdsall
Milton McPike,"Sharon McPike, Ruth McPike (divorced)"
Milton Morris,Colleen Joan Burgess
Milton Obote,Miria Obote
Milton Reid,Bertha Lilian Guyett (1939-?)
Milton Robert Carr,Kate Carr
Milton Rogovin,1942
Milton Rogovin,2003
Milton Rogovin,Anne Snetsky
Milton S. Hershey,"Catherine ""Kitty"" Sweeney (1871-1915)"
Milton Selzer,"Alice Hickox (1953 - October 21, 2006)"
Milton Sills,(divorced)
Milton Sills,(his death)
Milton Sills,1910
Milton Sills,1925
Milton Sills,1926
Milton Sills,1930
Milton Sills,Doris Kenyon
Milton Sills,Gladys Edith Wynne
Milton Young,(1) Malinda Benson (deceased)
Milton Young,(2) Patricia Byrne
Mimi Kennedy,Larry Dilg
Mimi Lockhart,(divorced)
Mimi Lockhart,Shawn-Douglas Brady
Mimi Rogers,1976
Mimi Rogers,1980
Mimi Rogers,1987
Mimi Rogers,1990
Mimi Rogers,2003
Mimi Rogers,Chris Ciaffa
Mimi Rogers,James Rogers
Mimi Rogers,Tom Cruise
Mimi Smith,George Smith
Mimi Smith,George Smith (John Lennon)
Mimi Walters,David Walters
Min Chueh Chang,Isabelle Chin
Mina Gogoi,Jitul Bora
Mina Harker,Jonathan Harker
Minati Sen,Ashish Kumar Sen
Minbyauk Thihapate,Soe Min Kodawgyi
Mincaye,Ompodae
Mindaugas II of Lithuania,Duchess Amalie in Bavaria
Mindaugas II of Lithuania,Princess Wiltrud of Bavaria
Mindaugas II of Lithuania,Wiltrud of Bavaria
Mindon Min,62 queens in total
Mindon Min,Shwepayagyi
Mindy Greiling,Roger
Mindy Lewis,"Nicholas ""Nick"" McHenry-Spaulding"
Mindy Lewis,"William ""Will"" Jeffries"
Mindy Lewis,(annulled; 1988)
Mindy Lewis,(dissolved; 1985)
Mindy Lewis,(divorced; 1984)
Mindy Lewis,(divorced; 1994-1995)
Mindy Lewis,(married; 2010-present)
Mindy Lewis,Kurt Corday
Mindy Lewis,Phillip Spaulding
Mindy Lewis,Rick Bauer
Mindy Sterling,Brian Gadson (1 child)
Minerva Urecal,none
Ming-Na,Eric Michael Zee (1995&ndash;present) 2 children
Ming-Na,Kirk Aanes (1990&ndash;1993) (divorced)
Mini Andén,Taber Shroeder (2001-present)
Mini Mathur,Kabir Khan (director)
Minita Chico-Nazario,(deceased)
Minita Chico-Nazario,Rod Nazario
Minkhaung I,Shin Bo-Me
Minkhaung I,Shin Mi-Nauk
Minki Visser,Constant Visser
Minkyinyo,Khin Nwe
Minna Gombell,(?-1972) (his death)
Minna Gombell,Howard Rumsey
Minna Gombell,Joseph Sefton
Minna Gombell,Myron Coureval Fagan
Minna Planer,Richard Wagner (1836-1866)
Minnie Caldwell,Armistead Caldwell
Minnie Lou Bradley,Billy Jack Bradley (married since 1955; living apart since 1995)
Minnie Marx,Sam Marx
Minor Characters in the Pendragon Adventure,Ginja Spader
Minor Characters in the Pendragon Adventure,Marken Winter
Minor Watson,Elinor Hewitt (?-?)
Minor characters of Days of our Lives,(Married 1987; Divorced circa 1990)
Minor characters of Days of our Lives,(invalid)
Minor characters of Days of our Lives,(married; 1985- present)
Minor characters of Days of our Lives,<small>
